Package,Built
purrr,3.5.0
repurrrsive,3.5.0
tidyverse,3.5.0
abind,3.5.0
acepack,3.5.0
antiword,3.5.0
assertthat,3.5.0
autoFRK,3.5.0
backports,3.5.0
base64enc,3.5.0
BH,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
blogdown,3.5.0
bookdown,3.5.0
brew,3.5.0
broom,3.5.0
callr,3.5.0
car,3.5.0
carData,3.5.0
caTools,3.5.0
cellranger,3.5.0
checkmate,3.5.0
cli,3.5.0
clipr,3.5.0
clisymbols,3.5.0
coda,3.5.0
colorspace,3.5.0
commonmark,3.5.0
cowsay,3.5.0
crayon,3.5.0
crosstalk,3.5.0
curl,3.5.0
data.table,3.5.0
DBI,3.5.0
dbplyr,3.5.0
DEoptimR,3.5.0
desc,3.5.0
devtools,3.5.0
dichromat,3.5.0
digest,3.5.0
dotCall64,3.5.0
dplyr,3.5.1
DT,3.5.0
dtplyr,3.5.0
e1071,3.5.0
enc,3.5.0
evaluate,3.5.0
extrafont,3.5.0
extrafontdb,3.5.0
fansi,3.5.0
fastmatch,3.5.0
fields,3.5.0
filehash,3.5.0
filehashSQLite,3.5.0
filematrix,3.5.0
FNN,3.5.0
forcats,3.5.0
Formula,3.5.0
fortunes,3.5.0
FRK,3.5.0
fs,3.5.0
geoR,3.5.0
ggplot2,3.5.0
ggrepel,3.5.0
ggthemes,3.5.0
gh,3.5.0
git2r,3.5.0
glue,3.5.0
gridExtra,3.5.0
gstat,3.5.0
gtable,3.5.0
haven,3.5.0
here,3.5.0
hexbin,3.5.0
highr,3.5.0
Hmisc,3.5.0
hms,3.5.0
htmlTable,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
ini,3.5.0
INLA,3.5.1
intervals,3.5.0
ISOcodes,3.5.0
jsonlite,3.5.0
knitr,3.5.0
labeling,3.5.0
laeken,3.5.0
later,3.5.0
latticeExtra,3.5.0
LatticeKrig,3.5.0
lazyeval,3.5.0
LearnBayes,3.5.0
lme4,3.5.0
lmtest,3.5.0
lubridate,3.5.0
magrittr,3.5.0
mapproj,3.5.0
maps,3.5.0
maptools,3.5.0
markdown,3.5.0
MatrixModels,3.5.0
memoise,3.5.0
mime,3.5.0
miniUI,3.5.0
minqa,3.5.0
mnormt,3.5.0
modelr,3.5.0
munsell,3.5.0
ndjson,3.5.0
network,3.5.0
nloptr,3.5.0
NLP,3.5.0
NSDDTemplates,3.5.0
openssl,3.5.0
openxlsx,3.5.0
pbkrtest,3.5.0
pdftools,3.5.0
pillar,3.5.0
pkgbuild,3.5.0
pkgconfig,3.5.0
pkgload,3.5.0
plogr,3.5.0
plotly,3.5.0
plyr,3.5.0
praise,3.5.0
prettyunits,3.5.0
processx,3.5.0
promises,3.5.0
pryr,3.5.0
ps,3.5.0
psych,3.5.0
purrr,3.5.0
quanteda,3.5.0
quantreg,3.5.0
R6,3.5.0
RandomFields,3.5.0
RandomFieldsUtils,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
RcppArmadillo,3.5.0
RcppEigen,3.5.0
RcppParallel,3.5.0
RCurl,3.5.0
readODS,3.5.0
readr,3.5.0
readtext,3.5.0
readxl,3.5.0
rematch,3.5.0
rematch2,3.5.0
reprex,3.5.0
reshape2,3.5.0
reticulate,3.5.0
rgeos,3.5.0
rhandsontable,3.5.0
rio,3.5.0
rjson,3.5.0
rlang,3.5.0
rmarkdown,3.5.0
rmsfact,3.5.0
robustbase,3.5.0
roxygen2,3.5.0
rprojroot,3.5.0
RSpectra,3.5.0
RSQLite,3.5.0
RSSampling,3.5.0
rstudioapi,3.5.0
rticles,3.5.0
Rttf2pt1,3.5.0
rvest,3.5.0
scales,3.5.0
selectr,3.5.0
servr,3.5.0
shiny,3.5.0
shinydashboard,3.5.0
slam,3.5.0
sna,3.5.0
SnowballC,3.5.0
sourcetools,3.5.0
sp,3.5.0
spacetime,3.5.0
spacyr,3.5.0
spam,3.5.0
sparseinv,3.5.0
SparseM,3.5.0
splancs,3.5.0
stargazer,3.5.0
statnet.common,3.5.0
stopwords,3.5.0
streamR,3.5.0
stringi,3.5.0
stringr,3.5.0
styler,3.5.0
sys,3.5.0
testthat,3.5.0
tibble,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.0
tinytex,3.5.0
tm,3.5.0
tokenizers,3.5.0
usethis,3.5.0
utf8,3.5.0
vcd,3.5.0
VIM,3.5.0
viridis,3.5.0
viridisLite,3.5.0
whisker,3.5.0
withr,3.5.0
xfun,3.5.0
xml2,3.5.0
xtable,3.5.0
xts,3.5.0
yaml,3.5.0
zip,3.5.0
zoo,3.5.0
